instrument_token,symbol,last_price,volume_traded,oi,bid_price,ask_price,exchange_timestamp,session_date
2939649,LT,3951.1,2158778,0,,2026-03-06 15:05:31,2026-03-06 15:05:31,2026-03-06
4598529,NESTLEIND,1250.4,601215,0,,2026-03-06 15:05:31,2026-03-06 15:05:31,2026-03-06
2953217,TCS,2555.3,3506984,0,,2026-03-06 15:05:30,2026-03-06 15:05:30,2026-03-06
1270529,ICICIBANK,1311.3,19387750,0,,2026-03-06 15:05:31,2026-03-06 15:05:31,2026-03-06
2714625,BHARTIARTL,1868.9,8867877,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
738561,RELIANCE,1404.5,17520788,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
81153,BAJFINANCE,949.25,5358529,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
897537,TITAN,4253.5,448541,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
2815745,MARUTI,14179.0,332654,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
356865,HINDUNILVR,2224.7,1320536,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
857857,SUNPHARMA,1801.0,3002446,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
2952193,ULTRACEMCO,11999.0,248437,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
969473,WIPRO,195.06,7113217,0,,2026-03-06 15:05:32,2026-03-06 15:05:32,2026-03-06
1270529,ICICIBANK,1311.4,19388268,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
1850625,HCLTECH,1357.2,1495727,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
2953217,TCS,2555.3,3507601,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
424961,ITC,309.75,19817568,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
969473,WIPRO,195.06,7113217,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
60417,ASIANPAINT,2281.5,827856,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
738561,RELIANCE,1404.6,17523806,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
2714625,BHARTIARTL,1868.9,8869161,0,,2026-03-06 15:05:33,2026-03-06 15:05:33,2026-03-06
341249,HDFCBANK,857.3,29831723,0,,2026-03-06 15:05:34,2026-03-06 15:05:34,2026-03-06
424961,ITC,309.75,19817945,0,,2026-03-06 15:05:34,2026-03-06 15:05:34,2026-03-06
408065,INFY,1307.4,7617201,0,,2026-03-06 15:05:34,2026-03-06 15:05:34,2026-03-06
1510401,AXISBANK,1317.1,10603582,0,,2026-03-06 15:05:34,2026-03-06 15:05:34,2026-03-06
897537,TITAN,4253.5,448632,0,,2026-03-06 15:05:35,2026-03-06 15:05:35,2026-03-06
2939649,LT,3951.1,2158870,0,,2026-03-06 15:05:35,2026-03-06 15:05:35,2026-03-06
2714625,BHARTIARTL,1868.8,8870455,0,,2026-03-06 15:05:35,2026-03-06 15:05:35,2026-03-06
2815745,MARUTI,14174.0,333637,0,,2026-03-06 15:05:35,2026-03-06 15:05:35,2026-03-06
408065,INFY,1307.5,7617443,0,,2026-03-06 15:05:35,2026-03-06 15:05:35,2026-03-06
